source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
bbc_good_food,burger,beef burger,Beef stroganoff,1 tbsp olive oil 1 onion sliced 1 clove of  garlic 1 tbsp butter 250g/9oz mushrooms sliced 1 tbsp plain flour 500g/1lb 2oz fillet steak sliced 150g/5oz crème fraîche 1 tsp English mustard 100ml/3½fl oz beef stock ½ small pack of parsley chopped,438.0,30.0,31.0,8.0,https://www.bbcgoodfood.com/recipes/beef-stroganoff,2026-05-12 00:35:32
bbc_good_food,burger,beef burger,Harissa beef & tomato bulgur,"1 tbsp olive oil 1 red onion finely chopped 300g butternut squash chopped 2 tbsp  tomato purée 2 tsp ground cumin ½ tsp ground cinnamon 250g bulgur wheat 250g  vine tomatoes roughly chopped 800ml vegetable stock 1-2 tbsp  harissa (depending on how spicy you like it) 800g  leftover ragu (see recipe below) small handful of  mint leaves 25g  pine nuts toasted lemon wedges and natural yogurt, to serve",603.0,30.0,20.0,69.0,https://www.bbcgoodfood.com/recipes/harissa-beef-tomato-bulgur,2026-05-12 00:35:38
bbc_good_food,burger,beef burger,Slow-cooker beef stew,"1 onion chopped 2 celery sticks finely chopped 2 tbsp rapeseed oil 3 carrots halved and cut into chunks 2 bay leaves ½ pack thyme 2 tbsp tomato purée 2 tbsp Worcestershire sauce 2 beef stock cubes or stock pots 900g beef for braising such as skirt, buy a whole piece and cut it yourself for bigger chunks or buy ready-diced 2 tsp cornflour (optional) ½ small bunch parsley chopped buttery mash to serve (optional)",474.0,48.0,25.0,10.0,https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew,2026-05-12 00:35:40
bbc_good_food,burger,beef burger,Chinese-style braised beef one-pot,"3-4 tbsp olive oil 6 garlic cloves thinly sliced good thumb-size piece fresh root ginger peeled and shredded 1 bunch spring onions sliced 1 red chilli deseeded and thinly sliced 1 ½kg braising beef cut into large pieces (we used ox cheek) 2 tbsp plain flour well seasoned 1 tsp Chinese five-spice powder 2 star anise (optional) 2 tsp light muscovado sugar (or use whatever you've got) 3 tbsp Chinese cooking wine or dry sherry 3 tbsp dark soy sauce plus more to serve 500ml beef stock (we used Knorr Touch of Taste) steamed bok choi and steamed basmati rice, to serve",506.0,52.0,27.0,11.0,https://www.bbcgoodfood.com/recipes/braised-beef-onepot,2026-05-12 00:35:42
bbc_good_food,burger,beef burger,Beef curry,"2 tbsp oil 500g diced braising steak 1 tbsp butter 1 large onion chopped 2 garlic cloves crushed 1 thumb sized piece of ginger finely grated ¼ tsp hot chilli powder 1 tsp turmeric 2 tsp ground coriander 3 cardamom pods crushed 400g can chopped tomatoes 300ml beef stock 1 tsp sugar 2 tsp garam masala 2 tbsp double cream (optional) ½ small bunch coriander roughly chopped naan bread or rice, to serve",337.0,29.0,19.0,11.0,https://www.bbcgoodfood.com/recipes/beef-curry,2026-05-12 00:35:45
bbc_good_food,burger,beef burger,Beef stew,"2 celery sticks thickly sliced 1 onion chopped 2 really big  carrots halved lengthways then very chunkily sliced 5 bay leaves 2 thyme sprigs 1 whole and 1 leaves picked 1 tbsp vegetable oil 1 tbsp butter 2 tbsp plain flour 2 tbsp tomato purée 2 tbsp Worcestershire sauce 2 beef stock cubes crumbled 850g stewing beef (featherblade or brisket works nicely), cut into nice large chunks",483.0,33.7,32.6,14.3,https://www.bbcgoodfood.com/recipes/beef-vegetable-casserole,2026-05-12 00:35:47
bbc_good_food,burger,beef burger,Beef goulash,4 tbsp olive oil 700g stewing steak cut into chunks 30g plain flour 1 large onion thinly sliced 2 garlic cloves finely chopped 1 green pepper deseeded and thinly sliced 1 red pepper deseeded and thinly sliced 2 tbsp tomato purée 2 tbsp paprika 2 large tomatoes diced 75ml dry white wine 300ml beef stock homemade or shop-bought 2 tbsp flat-leaf parsley leaves 150ml soured cream,534.0,39.0,31.0,18.0,https://www.bbcgoodfood.com/recipes/beef-goulash,2026-05-12 00:35:49
bbc_good_food,burger,beef burger,Beef bourguignon,"1.6kg braising steak cut into large chunks 3 bay leaves small bunch thyme 2 bottles cheap  red wine 2 tbsp oil 3 large or 6 normal  carrots cut into large chunks 2 onions roughly chopped 3 tbsp plain flour 1 tbsp tomato purée small knob butter 300g bacon lardons 500g pearl onions or small shallots, peeled 400g mushrooms halved chopped parsley",861.0,67.0,36.0,19.0,https://www.bbcgoodfood.com/recipes/beef-bourguignon,2026-05-12 00:35:51
bbc_good_food,burger,beef burger,Crispy chilli beef,"350g thin-cut  minute steak very thinly sliced into strips 3 tbsp cornflour 2 tsp Chinese five-spice powder 100ml vegetable oil 1 red pepper thinly sliced 1 red chilli thinly sliced 4 spring onions sliced, green and white parts separated 2 garlic cloves crushed thumb-sized piece  ginger cut into matchsticks 4 tbsp rice wine vinegar or white wine vinegar 1 tbsp soy sauce 2 tbsp sweet chilli sauce 2 tbsp tomato ketchup cooked noodles to serve (optional) prawn crackers to serve (optional)",454.0,26.0,23.0,32.0,https://www.bbcgoodfood.com/recipes/crispy-chilli-beef,2026-05-12 00:35:53
bbc_good_food,burger,beef burger,Slow cooker beef bourguignon,"3 tbsp vegetable oil 1 ½kg stewing or braising steak cut into small chunks 2 large onions chopped 2 carrots chopped 2 celery stalks chopped 2 bay leaves 2 thyme sprigs or rosemary sprigs 3 tbsp plain flour 750ml bottle red wine 1 beef stock cube 1 tsp caster sugar 2 tbsp tomato purée 100g unsmoked bacon lardons 6 small shallots or baby onions, halved or quartered 300g closed cup mushrooms halved or quartered mashed potatoes or crusty bread, to serve",497.0,47.0,20.0,14.0,https://www.bbcgoodfood.com/recipes/slow-cooker-beef-bourguignon,2026-05-12 00:35:54
