source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
skinnytaste,pizza,pizza,Spicy Salmon Sushi Pizza,"2  6 inch tortillas (gluten-free or whole wheat (I used Siete casava flour)) 2 ounces avocado (from 1/2 small haas) kosher salt 8 ounces sushi-grade salmon (or sashimi, skin removed and minced fine) 2 tablespoons mayonnaise 2 teaspoons sriracha 2 tablespoons sliced scallions (divided) 1 teaspoon toasted sesame oil 1 teaspoon soy sauce or gluten-free tamari 1 teaspoon black and white sesame seeds 1  thin sliced jalapeño",403.0,24.5,26.5,17.0,https://www.skinnytaste.com/spicy-salmon-sushi-pizza/,2026-05-12 01:59:43
skinnytaste,sandwich,sandwich,High Protein Bread (Oat Sandwich Rolls),"1 cup oat flour (plus more for dusting if needed*) 2 teaspoons baking powder (make sure it's not expired or it won't rise) 3/4 teaspoon kosher salt (use less if using table salt) 1 cup low-fat classic cottage cheese (I like Good Culture drained of any whey at the top) 1  egg white (beaten (whole egg works fine too)) Everything bagel seasoning (sesame, etc for topping, optional)",135.5,10.5,3.0,18.0,https://www.skinnytaste.com/high-protein-bread-oat-sandwich-rolls/,2026-05-12 02:00:11
skinnytaste,sandwich,chicken sandwich,Pickle Ham and Swiss Chicken Roll Ups (Cuban Chicken),"4  1 lb thin boneless chicken cutlets 1 1/4 cups pickle juice (enough to cover chicken) 4 teaspoons deli mustard 2 oz thin sliced reduced sodium deli ham 2 oz shredded Swiss cheese 1-2  dill pickles (sliced very thin lengthwise, dried on paper towel (I used a mandolin)) olive oil spray 1  large egg (beaten) 1/3 cup seasoned wheat or gluten-free breadcrumbs* 1/3 cup seasoned wheat or gluten-free panko* cooking spray",280.0,36.0,9.0,12.5,https://www.skinnytaste.com/cubano-chicken-pickle-ham-and-swiss-chicken-roll-ups/,2026-05-12 02:00:22
skinnytaste,sandwich,turkey sandwich,Turkey Burgers with Zucchini,6 oz grated zucchini (when squeezed 4.25 oz) 1 lb 93% lean ground turkey 1/4 cup seasoned whole wheat or gluten-free breadcrumbs 1 clove garlic (grated) 1 tbsp grated red onion 1 tsp kosher salt and fresh pepper oil spray,161.0,18.0,7.0,4.5,https://www.skinnytaste.com/turkey-burgers-with-zucchini/,2026-05-12 02:00:36
skinnytaste,sandwich,turkey sandwich,Turkey Meatballs,"1.3 pound package ground turkey (93% lean) 1/4 cup seasoned breadcrumbs (or gluten-free crumbs) 1/4 cup Pecorino Romano cheese 1/4 cup fresh parsley (finely chopped) 1  egg 1 large clove garlic (grated or minced) 1 teaspoon kosher salt (and fresh black pepper, to taste) 2 teaspoons olive oil (extra virgin) 4 cloves garlic (smashed) 2  28 oz cans  crushed tomatoes (I swear by Tuttorosso) 1/2 small  onion (cut in half but don&#39;t chop) 1  bay leaf 1 teaspoon dried oregano 1/4 cup chopped basil (fresh ) kosher salt (and fresh black pepper, to taste)",280.0,25.5,11.5,25.0,https://www.skinnytaste.com/skinny-italian-meatballs-turkey-1-p/,2026-05-12 02:00:40
skinnytaste,steak,steak,Fall Steak Salad with Sweet Potatoes,"1 large  sweet potato (about 1 pound, peeled and cut into ½-inch cubes) olive oil spray 1 ½ teaspoons kosher salt (divided) ¼ teaspoon black pepper (freshly ground ) 1 ¼ pounds sirloin steak (trimmed of excess fat and cut into 1-inch cubes) ½ teaspoon avocado oil ¼ teaspoon ground chili powder ¼ teaspoon ground cumin 5 cloves garlic ¾ cup packed parsley leaves (finely chopped) 2 tablespoons extra virgin olive oil 3 tablespoons red wine vinegar ½ teaspoon kosher salt and black pepper (to taste) 4 ounces baby arugula 1 tablespoon extra virgin olive oil 1 tablespoon lemon juice ½ teaspoon kosher salt",394.5,33.5,17.5,26.0,https://www.skinnytaste.com/fall-steak-salad-with-sweet-potatoes/,2026-05-12 02:00:41
skinnytaste,steak,beef steak,Carne Asada Salad,"1  Strip Steak  (Boneless, 1 inch thick, trimmed (about 10 ounces)) 1 large clove garlic (minced) 1 teaspoon ground cumin 1/2 teaspoon kosher salt black pepper (to taste) 3 cups mixed greens 1/2 cup pico de gallo ((store bought or recipe here)) 1/4 cup shredded Monterrey Jack 2  lime wedges 1/2 cup prepared or my homemade guacamole Additional lime wedges ( optional) jalapeno slices (optional)",390.0,38.0,21.5,12.0,https://www.skinnytaste.com/carne-asada-steak-salad/,2026-05-12 02:01:01
skinnytaste,steak,beef steak,Loaded Philly Cheesesteak Baked Potato,"4  5 1/2 oz russet potato, washed and dried 1/2 lb thin sliced beef round sandwich steaks salt and fresh cracked pepper (to taste) garlic powder (to taste) 1/2  medium onion (sliced into long 1/4"" thick strips) 1/2  red bell pepper (thinly sliced into 1/4"" thick strips) 1/2  green bell pepper (thinly sliced into 1/4"" thick strips) 1/2 tsp olive oil 8 oz sliced mushrooms cooking spray (sprayed about 4 seconds) 4 slices provolone cheese",390.0,26.0,13.0,44.0,https://www.skinnytaste.com/loaded-philly-cheesesteak-baked-potato/,2026-05-12 02:01:06
skinnytaste,steak,grilled steak,Steak & Caramelized Onions with Arugula and Penne,"1 lb top sirloin kosher salt and fresh cracked pepper (to taste) 4 oz penne pasta (I used Tru Roots GF penne w/ quinoa, amaranth &amp; brown rice) 3 oz baby arugula 4 teaspoons olive oil 1 1/2 tbsp golden balsamic 1/2 oz shaved Parmesan or Pecorino Romano cheese 1/2  medium red onion 1  large white onion 1 tsp paprika 1/2 tsp kosher coarse salt 1 tbsp golden balsamic vinegar 1 tbsp olive oil",384.0,30.0,15.0,29.5,https://www.skinnytaste.com/steak-caramelized-onions-with-arugula/,2026-05-12 02:01:11
skinnytaste,sushi,sushi bowl,Spicy Canned Salmon Salad Rice Bowl,1 5-ounce can  skinless wild pink or red salmon (in water drained) 1 tablespoons light mayonnaise 2 teaspoons sriracha sauce (plus more for topping) 2  scallions (white and greens separated) Pinch kosher salt 3/4 cup cooked brown rice (heated) ½ cup chopped cucumber (I use Persian cucumbers) Furikake or chopped nori and sesame seeds (for garnish),389.0,25.0,14.0,39.0,https://www.skinnytaste.com/spicy-canned-salmon-rice-bowl/,2026-05-12 02:01:16
