source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at,normalized_recipe_name,normalized_source_url,drop_reason
skinnytaste,pizza,pizza,Fruit Pizza,2 cups all purpose unbleached flour (Gold Medal) 1/2 tsp baking soda 1/4 tsp salt 1/8 teaspoon ground cinnamon 2/3 cup granulated sugar 2/3 cup brown sugar (unpacked) 1/4 cup melted unsalted butter 2  large egg whites 1/4 cup unsweetened apple sauce 2 tsp vanilla extract 2/3 cup white chocolate chips or chopped white chocolate 8 oz 1/3 less fat cream cheese (softened) 1/2 cup powdered sugar 1 teaspoon vanilla 1  large mango (diced) 3  diced kiwis 1 cup sliced strawberries 1 cup blueberries 1 cup raspberries,140.0,2.0,5.0,24.0,https://www.skinnytaste.com/fruit-pizza/,2026-05-12 01:59:41,fruit pizza,https www skinnytaste com fruit-pizza,dessert_pizza
skinnytaste,sandwich,sandwich,Slow Cooker French Dip Sandwich,"3 to 4 lb beef round roast (trimmed) 1 tbsp minced garlic (minced) 1 tbsp fresh rosemary (or 1 tsp dry) 1 tbsp fresh thyme (or 1 tsp dry) 1 tsp kosher salt 1/2 tsp ground black pepper 2 to 3  14.5 oz cans Swanson's low-sodium beef broth 1 tsp Worcestershire sauce 10  whole peppercorns 1  bay leaf 1/2  large onion (cut into chunks) 1/2 tablespoon extra-virgin olive oil 3  large onions (thinly sliced) 1/2 tsp Kosher salt 1  large red bell pepper (cored, seeded and sliced into strips) 1  large green bell pepper (cored, seeded and sliced into strips)  Sargento Reduced Fat Provolone or Mozzarella Slices whole wheat baguettes or rolls (cut into 2 oz pieces)",308.0,29.0,9.0,31.0,https://www.skinnytaste.com/slow-cooker-french-dip-sandwiches-with/,2026-05-12 02:00:15,slow cooker french dip sandwich,https www skinnytaste com slow-cooker-french-dip-sandwiches-with,dip_not_sandwich
skinnytaste,sandwich,chicken sandwich,Chicken Salad Recipe,12 ounces cooked chicken breast (finely chopped (from 2 breasts of rotisserie chicken)) 1/3 cup light mayonnaise 1/2 cup celery (chopped) 1/3 cup red onion (diced (or scallions or chives)) 2 tablespoons chicken broth (optional) 1 teaspoon Dijon 1/2 teaspoon seasoned salt black pepper (to taste),131.0,18.0,5.0,2.0,https://www.skinnytaste.com/chicken-salad/,2026-05-12 02:00:24,chicken salad recipe,https www skinnytaste com chicken-salad,salad_not_sandwich
skinnytaste,sandwich,chicken sandwich,Buffalo Chicken Salad,"6 1/2 ounces cooked chicken breast or canned (from an 8 oz breast, cubed) 1/4 cup red onion (plus more for garnish) 1/2  celery stalk (plus leaves for garnish) 1  baby carrot 1/4 cup mayo 1/4 cup Frank’s hot sauce (or more to taste) 6  baby romaine lettuce leaves (or your favorite lettuce for wraps) light blue cheese dressing (optional for topping)",359.0,30.0,24.0,4.0,https://www.skinnytaste.com/buffalo-chicken-salad/,2026-05-12 02:00:25,buffalo chicken salad,https www skinnytaste com buffalo-chicken-salad,salad_not_sandwich
skinnytaste,sandwich,chicken sandwich,Chicken Fajitas,16 oz boneless skinless chicken breasts 1  red bell pepper (cut into strips) 1  green or poblano pepper (cut into strips) 1  medium onion (cut into strips) 3 tbsp lime juice 1 tsp ground cumin 1 tsp garlic powder pinch ancho or Mexican chili powder (  to taste) salt and pepper to taste 2 tsp olive oil 8  reduced-carb whole wheat flour tortillas (or corn tortillas for GF) 1/2 cup reduced fat shredded Mexican cheese reduced fat sour cream (optional) guacamole (optional),299.0,39.0,10.5,27.0,https://www.skinnytaste.com/chicken-fajitas-45-pts/,2026-05-12 02:00:27,chicken fajitas,https www skinnytaste com chicken-fajitas-45-pts,fajita_not_sandwich
skinnytaste,sandwich,chicken sandwich,Hot Chicken Philly Cheesesteak Dip,8 ounces thin sliced chicken cutlets 1/8 teaspoon kosher salt black pepper to taste cooking spray 1 cup diced onion 1 cup diced green pepper 1/4 cup light mayonnaise 1/2 cup light sour cream 4 oz light cream cheese (softened) 4 oz shredded mild provolone cheese,125.0,8.0,9.0,3.0,https://www.skinnytaste.com/hot-chicken-philly-cheesesteak-dip/,2026-05-12 02:00:28,hot chicken philly cheesesteak dip,https www skinnytaste com hot-chicken-philly-cheesesteak-dip,dip_not_sandwich
skinnytaste,sandwich,chicken sandwich,Chicken Quesadilla Recipe,"16 ounces skinless chicken breast (fat trimmed) 1 teaspoon kosher salt  (and black pepper, to taste) 1/2 teaspoon cumin 1/2 teaspoon  garlic powder 1/4 teaspoon oregano olive oil spray 1/2 small  onion (cut into strips) 1  bell pepper (red or green cut into strips) 1 clove garlic (minced) 1 tbsp olive oil 1-1/3 cup part-skim Mexican blend shredded cheese (or dairy free cheese like Violife) 1 cup avocado mango salsa 8  low-carb whole wheat flour tortillas (La Tortilla Factory original size (or gf tortillas like siete))",435.0,47.5,31.5,30.5,https://www.skinnytaste.com/chicken-quesadillas/,2026-05-12 02:00:30,chicken quesadilla recipe,https www skinnytaste com chicken-quesadillas,quesadilla_not_sandwich
skinnytaste,steak,grilled steak,Grilled Brussels Sprouts with Balsamic Glaze,1 lb brussels sprouts (stems trimmed and cut in half) 2 tbsp olive oil 4  long wooden skewers 1/4 tsp kosher salt fresh cracked black pepper 1 tbsp balsamic glaze (I use Delallo),118.0,4.0,7.0,12.5,https://www.skinnytaste.com/grilled-brussels-sprouts-with-balsamic-glaze/,2026-05-12 02:01:12,grilled brussels sprouts with balsamic glaze,https www skinnytaste com grilled-brussels-sprouts-with-balsamic-glaze,vegetable_not_steak
skinnytaste,sushi,sushi roll,California Roll Cucumber Salad,2 1/2 teaspoons chili crisp (divided) 2 1/2 teaspoons soy sauce (divided) ½ cup precooked rice 1 teaspoon grated ginger 1 tablespoon rice vinegar (seasoned preferred but can be unseasoned) 1 large  English cucumber (sliced into thin half moons (can be peeled based on preference) about 2 cups) ½ cup scallions (cut on a bias) ½ cup avocado (diced (½ of a medium avocado)) 1 cup kani imitation crab (flaked and cut into 1” pieces) Furikake ( or black and white sesame seeds for topping),317.0,10.0,13.5,41.0,https://www.skinnytaste.com/california-roll-cucumber-salad/,2026-05-12 02:01:18,california roll cucumber salad,https www skinnytaste com california-roll-cucumber-salad,sushi_style_salad_not_sushi
skinnytaste,sushi,salmon bowl,Seattle Smoked Salmon Chowder,"2 tablespoons unsalted butter 1  medium yellow onion (diced) 3  medium carrots (½-inch dice) 3  large celery stalks (½-inch dice) 2  garlic cloves (minced) 2 teaspoons kosher salt 2 tablespoons all-purpose flour ½ cup white wine (such as Sauvignon Blanc) 1 teaspoon dry thyme 3 cups reduced sodium chicken broth 1  12-ounce wedge cauliflower (1/4 of a large head), stem attached 3  small red potatoes (peeled and diced into ½ inch pieces) 1 cup frozen corn kernels 2 cups whole milk Freshly ground black pepper 8 ounces skinless hot-smoked salmon Chopped chives (for garnish)",377.0,31.0,11.5,36.0,https://www.skinnytaste.com/smoked-salmon-chowder/,2026-05-12 02:01:34,seattle smoked salmon chowder,https www skinnytaste com smoked-salmon-chowder,chowder_not_sushi
