,precision,recall,f1-score,support
burger,0.6,0.6,0.6,75.0
pizza,0.58,0.38666666666666666,0.464,75.0
fries,0.8085106382978723,0.5066666666666667,0.6229508196721312,75.0
pasta,0.4634146341463415,0.25333333333333335,0.3275862068965517,75.0
rice,0.40404040404040403,0.6153846153846154,0.4878048780487805,65.0
chicken,0.38961038961038963,0.4,0.39473684210526316,75.0
salad,0.726027397260274,0.7066666666666667,0.7162162162162162,75.0
sandwich,0.5238095238095238,0.14666666666666667,0.22916666666666666,75.0
sushi,0.5833333333333334,0.6268656716417911,0.60431654676259,67.0
steak,0.3559322033898305,0.84,0.5,75.0
accuracy,0.505464480874317,0.505464480874317,0.505464480874317,0.505464480874317
macro avg,0.5434678523887969,0.5082250287026406,0.49467781763681995,732.0
weighted avg,0.5449369106345997,0.505464480874317,0.4935734727773586,732.0
