,precision,recall,f1-score,support
burger,0.918918918918919,0.9066666666666666,0.912751677852349,75.0
pizza,0.9,0.96,0.9290322580645162,75.0
fries,0.9594594594594594,0.9466666666666667,0.9530201342281879,75.0
pasta,0.9104477611940298,0.8133333333333334,0.8591549295774648,75.0
rice,0.90625,0.8923076923076924,0.8992248062015504,65.0
chicken,0.8441558441558441,0.8666666666666667,0.8552631578947368,75.0
salad,0.9090909090909091,0.9333333333333333,0.9210526315789473,75.0
sandwich,0.8985507246376812,0.8266666666666667,0.8611111111111112,75.0
sushi,0.8051948051948052,0.9253731343283582,0.8611111111111112,67.0
steak,0.8904109589041096,0.8666666666666667,0.8783783783783784,75.0
accuracy,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
macro avg,0.8942479381555757,0.8937680826636051,0.8930100195998353,732.0
weighted avg,0.8950572338457969,0.8934426229508197,0.8932737400942242,732.0
