true_class,image_path,user_text,predicted_food,confidence,top_1_class,top_1_confidence,top_2_class,top_2_confidence,top_3_class,top_3_confidence,estimated_calories,estimated_range_low,estimated_range_high,warnings,inference_time_seconds,status
burger,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/burger/burger_1.jpg,double burger with cheddar cheese mayo ketchup and fries,burger,0.9971422553062439,burger,0.9971422553062439,sandwich,0.0021449115592986345,sushi,0.0005223662592470646,527,474,580,,0.4117,pass
pizza,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/pizza/pizza_148.jpg,pepperoni pizza with mozzarella cheese tomato sauce and extra cheese,pizza,0.9921479821205139,pizza,0.9921479821205139,sandwich,0.002307809656485915,rice,0.00216675060801208,366,329,403,,0.6737,pass
fries,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/fries/11.jpg,crispy fries with ketchup and mayonnaise sauce,fries,0.9744927287101746,fries,0.9744927287101746,pasta,0.017584165558218956,steak,0.004375149961560965,503,453,553,,0.5679,pass
pasta,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/pasta/120.jpg,pasta with tomato sauce parmesan cheese and olive oil,steak,0.9215550422668457,steak,0.9215550422668457,pizza,0.027819516137242317,pasta,0.02663174457848072,577,519,635,The image prediction and text description may not match.,0.4291,check
rice,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/rice/122.jpg,rice bowl with vegetables chicken and light sauce,rice,0.9980546236038208,rice,0.9980546236038208,pasta,0.0018499252619221807,salad,5.0026545068249106e-05,225,202,248,,0.7567,pass
chicken,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/chicken/132.jpg,grilled chicken breast with rice salad and olive oil,chicken,0.9924976229667664,chicken,0.9924976229667664,steak,0.006879561580717564,pasta,0.0005202410975471139,336,302,370,,0.6213,pass
salad,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/salad/121.jpg,green salad with lettuce cucumber tomato chicken and light dressing,salad,0.9663115739822388,salad,0.9663115739822388,sandwich,0.017223384231328964,sushi,0.006203410681337118,159,143,175,,0.5568,pass
sandwich,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/sandwich/126.jpg,chicken sandwich with cheese lettuce tomato and mayonnaise,rice,0.8019624948501587,rice,0.8019624948501587,pasta,0.11926336586475372,sandwich,0.03505803272128105,654,589,719,The image prediction and text description may not match.,0.5246,check
sushi,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/sushi/125.jpg,sushi rolls with salmon rice avocado and soy sauce,sushi,0.999953031539917,sushi,0.999953031539917,salad,2.2024869394954294e-05,chicken,1.3105912330502179e-05,240,216,264,,0.5597,pass
steak,/content/drive/MyDrive/Calorify/phase1_clean/data/split/test/steak/111.jpg,grilled steak with butter sauce fries and black pepper,steak,0.9933005571365356,steak,0.9933005571365356,pizza,0.0036186024080961943,chicken,0.0030426648445427418,230,207,253,,0.522,pass
