,precision,recall,f1-score,support
burger,0.9166666666666666,0.88,0.8979591836734694,75.0
pizza,0.9459459459459459,0.9333333333333333,0.9395973154362416,75.0
fries,0.9436619718309859,0.8933333333333333,0.9178082191780822,75.0
pasta,0.8082191780821918,0.7866666666666666,0.7972972972972973,75.0
rice,0.84375,0.8307692307692308,0.8372093023255814,65.0
chicken,0.7439024390243902,0.8133333333333334,0.7770700636942676,75.0
salad,0.918918918918919,0.9066666666666666,0.912751677852349,75.0
sandwich,0.8309859154929577,0.7866666666666666,0.8082191780821918,75.0
sushi,0.8169014084507042,0.8656716417910447,0.8405797101449275,67.0
steak,0.8,0.8533333333333334,0.8258064516129032,75.0
accuracy,0.855191256830601,0.855191256830601,0.855191256830601,0.855191256830601
macro avg,0.8568952444412762,0.8549774205893609,0.8554298399297311,732.0
weighted avg,0.857511915387092,0.855191256830601,0.8558410508782555,732.0
