,precision,recall,f1-score,support
burger,0.881578947368421,0.8933333333333333,0.8874172185430463,75.0
pizza,0.9210526315789473,0.9333333333333333,0.9271523178807947,75.0
fries,0.9166666666666666,0.88,0.8979591836734694,75.0
pasta,0.8333333333333334,0.8,0.8163265306122449,75.0
rice,0.9310344827586207,0.8307692307692308,0.8780487804878049,65.0
chicken,0.8051948051948052,0.8266666666666667,0.8157894736842105,75.0
salad,0.9,0.96,0.9290322580645162,75.0
sandwich,0.84375,0.72,0.7769784172661871,75.0
sushi,0.7922077922077922,0.9104477611940298,0.8472222222222222,67.0
steak,0.825,0.88,0.8516129032258064,75.0
accuracy,0.8633879781420765,0.8633879781420765,0.8633879781420765,0.8633879781420765
macro avg,0.8649818659108586,0.8634550325296594,0.8627539305660303,732.0
weighted avg,0.8648748528249938,0.8633879781420765,0.862714729975228,732.0
