,precision,recall,f1-score,support
burger,0.4857142857142857,0.68,0.5666666666666667,75.0
pizza,0.5205479452054794,0.5066666666666667,0.5135135135135135,75.0
fries,0.5806451612903226,0.72,0.6428571428571429,75.0
pasta,0.775,0.41333333333333333,0.5391304347826087,75.0
rice,0.7333333333333333,0.5076923076923077,0.6,65.0
chicken,0.49230769230769234,0.4266666666666667,0.45714285714285713,75.0
salad,0.8,0.8,0.8,75.0
sandwich,0.3958333333333333,0.25333333333333335,0.3089430894308943,75.0
sushi,0.6,0.6716417910447762,0.6338028169014085,67.0
steak,0.504424778761062,0.76,0.6063829787234043,75.0
accuracy,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
macro avg,0.5887806529945508,0.5739334098737084,0.5668439500018495,732.0
weighted avg,0.5866832737876774,0.5737704918032787,0.5656592076040655,732.0
